"text","retweet","favorite","date","sentiment","post_id","user_id"
"es geht euch anscheinend um die erwerbsfreiheit der weiter zu unrecht regierendenich könnte mir vorstellen, dass sie hier amtsmissbrauch nach paragraph 302 stgb begehen machen sie zur sicherheit eine selbstanzeige.",0,0,2024-11-28,"negative",12,12
"diejenigen, die nach krieg schreien, werden ihn nie an der front erleben. das blut des einfachen bürgers wird für die kriegsgier der rüstungsprofiteure vergossen werden, während die kriegstreiber sich weit weg in sicherheit wiegen werden!",0,1,2024-11-28,"negative",13,13
"naja, die meisten migranten sind laut den eu richtlinien keine flüchtlinge, von daher hätte man nicht nur weit weniger aufnehmen, sondern auch viel mehr abschieben können, was sich in mehr sicherheit und weniger kosten für europa äußern würde. die afd meinte ich. was sagt die?",0,0,2024-11-28,"negative",14,14
"du meinst entweder putins vasalle oder deutsch sicherheit.",0,0,2024-11-28,"neutral",15,15
"und nun? bspw der spatz, nicht unbedingt kaliber adler, ist vom aussterben bedroht. aber mit an sicherheit grenzender wahrscheinlichkeit liegt das nicht am windrad. eher an der sterilgespritzten landwirtschaft.",0,0,2024-11-28,"negative",16,16
"ich antworte jetzt einfach mal. erstens ist das ding echt wirklich mini und hat mit sicherheit auch keinen hepafilter. wir haben einen luftreiniger von trotec privat im gebrauch. ich finde ihn wirklich gut.",0,0,2024-11-28,"positive",17,17
"1. die nato dient dazu sich gegen idoiten wie putin zu wehren. 2. die nato verhindert auch, dass sich die natomitglieder selber gegenseitig angreifen. das erhöht die sicherheit der beteiligten staaten ganz erheblich.",0,0,2024-11-28,"neutral",18,18
"wenn man die höchste sicherheit will lässt man halt den wr einfach offline ohne kommunikationsschnittstelle. will man daten loggen macht man eben eine schnittstelle die readonly ist und keine befehle weitergibt.",0,0,2024-11-28,"neutral",19,19
"mit sicherheit ist es das nicht! den is will ich nie wieder sehen.",0,2,2024-11-28,"negative",20,20
"james dean war cool. habeck als wirtschaftsminister leider nicht so. joe kaeser gab ihm schlechte noten. auch frieden ohne waffen dafür stand gruen nämlich einmal wurde jetzt mit taurus an die uk besetzt. dadurch würde die sicherheit unseres landes gefährdet. warum also grün?",0,0,2024-11-28,"negative",21,21
"verstehe ich nicht. es ist doch ein spionagetriller. in der russisch geprägte ddr aufgewachsen, hochgearbeitet zur kanzlerin. das militär kaputt gespart, ab 2015 die innere sicherheit ruiniert. den staat abhängig von russischen gas gemacht. der neue netflix thriller.",1,1,2024-11-28,"negative",22,22
"warum haben wir kein recht auf sicherheit?",0,0,2024-11-28,"negative",23,23
"vielleicht kann sie uns erst mal ihr geschlecht nennen. zur sicherheit. damit man sie nicht versehentlich falsch anspricht.",0,0,2024-11-28,"negative",24,24
"harald kujat wir sind nun in der situation, dass alle menschen, die sicherheit und frieden in europa wollen, auf putin und trump zählen müssen er sagt damit auch indirekt auf wen wir uns in europa nicht verlassen dürfen. wefagenda2030",0,0,2024-11-28,"negative",25,25
"lauterbachlügt wusste schon vor jahrzehnten, dass konzernstudien usw. meist produktgeschönt verlaufen und nicht der wahrheit entsprechen! auch seine impflüge kostete letztlich tausenden menschen das leben, weil sie falsch in sicherheit gewogen wurden!",0,0,2024-11-28,"negative",26,26
"neuseeland sichert den frieden in europa, indem es die ukraine im kampf für unabhängigkeit amp freiheit unterstützt. denn sicherheit amp stabilität im indopazifik amp in europa sind eng miteinander verknüpft. auch in der antarktis wollen wir weiter zusammenarbeiten. 33",1,9,2024-11-28,"positive",27,27
"der indopazifik gibt den pulsschlag der globalen wirtschaft an amp ist zugleich geopolitisches spannungsfeld. dort werden deutschland und die eu sich jetzt noch stärker einbringen bei sicherheit und klimaschutz amp mit blick auf china. 23",1,8,2024-11-28,"neutral",28,27
"eine ärztin berichtete mir, dass auch zusätzlich kartei nutzt.wichtige befunde in karteiordner. schlau und mit verantwortungsbewußtein die frau. hatte zuvor aber auch böse erfahrung. festplatte kaputtgegangen. ich als pat. lass mir auch zwecks sicherheit auch ausdruck geben.",0,0,2024-11-28,"negative",29,28
"eine hintertür in all unseren big tech produkten. natürlich nur zur eigenen sicherheit",0,0,2024-11-28,"neutral",30,29
"wer ist eigentlich für die innere sicherheit zuständig? ist es damit getan, ratschläge zu geben?",0,0,2024-11-28,"neutral",31,30
"warum ist die sicherheit immer stärker bedroht? gibt es eine korrelation zu anderen entwicklungen, ereignissen und grüner politik?",0,0,2024-11-28,"negative",32,31
"ja, ich bin gläubig es gibt mir sicherheit, zu wissen, dass es ein leben nach dem tod und eine welt, wo alles besser läuft als hier, gibt eine gerechte welt, in der man sein kann wie man ist, außer man schadet anderen, ist meine vorstellung vom reich gottes",0,0,2024-11-28,"positive",33,32
"in der rückschau wird sich zeigen, dass scholz verrat an der ukraine u auch an der deutschen sicherheit begangen hat. versagen als besonnenheitzu tarnen, ist eine dreistigkeit an sich. vorschlag besonnenheit als unwort des jahres !",1,1,2024-11-28,"negative",34,33
"wenn das so einfach wäre, wäre das mit sicherheit schon passiert. leider sind die gesetze so angelegt, daß es schwierig bis unmöglich ist.",0,1,2024-11-28,"negative",35,34
"sie haben doch mit sicherheit einen schlüssel zu hause? wenn man das handy verliert oder es kaputt geht, meldet man sich einfach per passwort in der app neu an oder muss man sich an den kundenservice wenden?",0,0,2024-11-28,"negative",36,35
"sie wären sich in absoluter sicherheit, aber täuschen sie sich nicht. der wind könnte ganz plötzlich drehen. und das hat dann aber nichts mit dem vermeintlichen klimawandel zu tun. wir alle hoffen, dass wir ihren abgang bald live erleben!",0,0,2024-11-28,"neutral",37,36
"047 7. bundesregierungbsibundesamt für sicherheit in der informationstechnikfederal office for information security",0,0,2024-11-28,"neutral",38,37
"die grünen zerstören mit ihrer politik das ganze land. mehr muss man nach 3 jahren nicht schreiben. die auswirkungen auf wirtschaft, spaltung der gesellschaft, innere sicherheit sieht man täglich.",0,0,2024-11-28,"negative",39,38
"mir ist die religion des terroristen egal, das dient wieder nur zum spalten. es muss einfach sicher sein auf den straßen und einreiseende müssen auf sicherheit kontrolliert werden und straffällige dementsprechend behandelt.",0,0,2024-11-28,"negative",40,39
"uns soll sicherheit suggeriert werden. eine verdammt falsche sicherheit. früher wurde das problem an der wurzel angegangen, heutzutage wird eingeschränkt, verboten, für dumm verkauft. damit ändert sich nichts an den problemen.",0,0,2024-11-28,"negative",41,40
"zu weihnachten gehören inzwischen viele tausende tonnen beton für ansperrungen und sicherheit. vielleicht kurbelt es die betonindustrie an?",0,0,2024-11-28,"neutral",42,41
"frau bearbock, ich bin kein fan von putin. deutschland auf seine eigene sicherheit achten. eine immer weitere eskalation des militärischen konflikts kann keinen frieden bringen, sondern endet in einem fiasko. ich erwarte deshalb eine differenziertere analyse.",0,0,2024-11-28,"negative",43,42
"herr merz die menschen machen sich auch sorgen, ob sie als kanzler deutschland mit tauruslieferungen, womöglich sogar deutsche soldaten in der ukraine, unsere sicherheit gefährden. germany first und nicht slava ukraini!!",0,0,2024-11-28,"negative",44,43
"genau, so einen unsinn wie straßen und brückenreparaturen, unsere sicherheit, bildung",0,0,2024-11-28,"negative",45,44
"lackner, sorry, aber du bist ein fester trottel. es geht da nicht um wahlen sondern um die sicherheit der öbevölkerung.",0,0,2024-11-28,"negative",46,45
"koste es was es wolle? frieden ohne waffen dafür stand gruen einmal, jetzt taurus an die uk. das kostet unsere sicherheit sogar bundeswehr generäle warnen davor. was treibt sie an diese partei so zu pushen. lt. joe kaeser war habeck als wirtschaftsminister nicht erfolgreich.",0,0,2024-11-28,"negative",47,21
"russland plant im kommenden jahr 40 prozent seines haushalts allein für verteidigung und nationale sicherheit auszugeben. trend und damit signale sind eindeutig.",0,8,2024-11-28,"neutral",48,46
"ja in hamburg läuft es. stichwort strassen, stichwort gewalt durch migranten, stichwort sicherheit in bus amp bahn.....und vieles mehr. läuft richtig gut afd bitte weiter die missstände aufdecken damit die leute mal ihre rosa , äh grün rote brille absetzen.",0,0,2024-11-28,"positive",49,47
"ja genau das meinte ich ja auch damit, dass man oft nicht weiß, wie viel ernst oder clickbait dahinter steht. macht die sache aber auch nicht besser, weil es leute mit sicherheit auch animieren kann",0,1,2024-11-28,"negative",50,48
"die meisten offiziere sind mit sicherheit keine afdwähler. dass das mit afdwählern übereinstimmt hat auch sicherlich mit den anderen metriken, also bildungsgrad und herkunft meistens ostdeutsche und spätaussiedler zu tun.",0,0,2024-11-28,"neutral",51,49
"..sind. und die werden aufsässig, wenn man die dafür kritisiert, behaupten daß einem die intelligenz fehlen würde, dabei verstoßen die gegen die gefühle, die man als kind hat. kinder brauchen sicherheit und keine typen die was ausprobieren wollen!...",0,0,2024-11-28,"negative",52,50
"sie fragen mich oft, ronnie was ist dein geheimrezept für finanzielle sicherheit, mach kein kombi und der rubel ist mit dir!",0,2,2024-11-28,"neutral",53,51
"weg wir brauchen es aber sagen selbst die banken das ist der letzte kampf um unsere bargeld!hört mal was die sagen!die bundesbank sagt das bedeutet sicherheit und privatsphäre!!!",0,0,2024-11-28,"negative",54,52
"so wahr!! leider gibt es immer noch genug dumme menschen, die das einigeln sogar noch toll finden, weil sicherheit. irgendwie sind viele einfach nicht in der lage zu begreifen was hier geschieht. solang die tagesschau sagt, so muss es sein, sagen die schafe zustimmend mäh.",0,0,2024-11-28,"negative",55,53
"schätz es reicht wenn jeder haushalt ein exemplar bezahlen muss. ist auch nicht anders als bei der inneren sicherheit ...",0,2,2024-11-28,"negative",56,54
"kein gefühl der erleichterung, denn die hisbollah versucht natürlich sofort, zurück in den süden zu ziehen. und kein gefühl der freude, denn die geiseln frieren tief unter gaza. kein nachtschlaf, kein gefühl der sicherheit.",1,8,2024-11-28,"negative",57,55
"hier sollte es um die inner sicherheit gehen und nicht darum, wieviel wählerstimmen man generieren kann aber das wäre ja als würde man dem volk dienen u über den tellerrand hinausblicken. wo käme man da hin ?",0,0,2024-11-28,"negative",58,56
"und so ein roter streifen gibt sicherheit? funktioniert hier in le nicht...und da gibt es sogar noch grüne streifen. liegt also doch an der farbe",0,0,2024-11-28,"negative",59,57
"man sollte gar keine schutzwälle bauen müssen um weihnachten zu feiern. mit sicherheit wird es auch zum kirchgang wieder einlasskontrollen geben. sind eigentlich unsere politiker zu irgendetwas noch fähig, außer unsere bürger anzuzeigen?",0,0,2024-11-28,"negative",60,58
"die sicherheit unserer kinder auf ihrem täglichen schulweg ist von größter bedeutung!. heute, 28.11.24 um 15.45 uhr. ort . polizeiberlin b2811 berlin berlinevents demoberlin",0,0,2024-11-28,"neutral",61,59
"hallo herr merz, was ist mit der illegalen migration????? da höre ich nichts in ihrem wahlprogramm. die bürger wollen endlich wieder sicherheit auf den straßen. wenn sie dieses thema ignorieren, kann ich sie nicht mehr wählen.",0,0,2024-11-28,"negative",62,60
"mit ziemlicher sicherheit ja, kenne mich mit österreichischen neoliberalen strukturen gar nicht aus. vielleicht könnte da weiterhelfen.",0,0,2024-11-28,"negative",63,61
"sagt der bnd chef der deutsche nachrichtendienst d die infos von anschlägen in de von andern nachtichtendienste rest bekommen weil die es besser wissen als unser eigener lächerlich normal brauch man den bnd nicht wenn die es nicht mal schaffen hier für sicherheit zu sorgen",0,0,2024-11-28,"negative",64,62
"ja, mit sicherheit. habe schon etwas von forderungen in der höhe von 11,87 gehört.",0,0,2024-11-28,"neutral",65,63
"zu einfach. man könnte auch sagen simplicissimus. hat seit einem jahr vor trump gewarnt, während sich die träumer der andern parteien und zahlreiche redaktionsbeamte sich in sicherheit wähnten, trump käme nie wieder. niemand bei oder rechnete mit ihm.",0,0,2024-11-28,"negative",66,64
"lieber lars, leider ist er mit sicherheit nicht der richtige. wer mit der angst vor krieg wahlkampf macht so wie er hat sich disqualifiziert. furchtbar, furchtbar! dazu kommt das zaudern und zögern und ängstlich nach moskau schauen keine besonnenheit ist. furchtbar, furchtbar!",0,0,2024-11-28,"negative",67,65
"das ist schlicht die unwahrheit und angesichts der überall umlaufenden korrekturen wissen sie das auch mit sicherheit. sie lügen hier also im vollen bewusstsein der faktenlage.",0,0,2024-11-28,"negative",68,66
"die leute wollen die zeit genießen. für die sicherheit ist sie zuständig und net der bürger",0,0,2024-11-28,"neutral",69,67
"wenn die sicherheit beim zutritt zum weihnachtsmarkt höher ist als an der grenze. demnächst dann auch im einkaufszentrum, mit soldaten, mg, metallscanner etc., wie am airport? danke für diese sicherheit frau !",0,0,2024-11-28,"positive",70,68
"die grünen sind die größte bedrohung der persönlichen sicherheit von ungeborenen frauen. die gewalthilfe der grünen verstößt gegen die menschenwürde. die lebensfeindliche einstellung der grünen ist extremistisch.",0,0,2024-11-28,"negative",71,69
"vielen dank an frau faeser, besonderen dank der spd, den grünen und natürlich nicht zu vergessen der cdu... seit 2014... vielen dank für unsere sicherheit...",0,1,2024-11-28,"positive",72,70
"woran denkt ihr bei langfristiger sicherheit? in unsicheren zeiten vertraut ihr systemen oder greifbaren werten? bin gespannt auf eure sicht! finanzen sicherheit gold",0,1,2024-11-28,"neutral",73,71
"nein nicht irgendeine imaginäre brandmauer, sondern das verhalten und die politischen inhalte der afd. wer unsere äußere sicherheit an russland verkaufen will und personal wie björn höcke in seinen reihen hat ist nicht regierungsfähig.",0,0,2024-11-28,"negative",74,72
"man sollte unsere innenministerin an innere sicherheit ermahnen. und nicht die aufgabe an die bürger abwälzen die man selbst nicht im griff hat.",0,0,2024-11-28,"negative",75,73
"die hätten mit sicherheit auch so genug zu tun aber wichtige fälle werden dann abgewiesen oder jahrelang nicht bearbeitet. eine echte frechheit von diesen politikern unser justizsystem nur für sich alleine zu missbrauchen.",0,0,2024-11-28,"negative",76,58
"wann kommt dazu endlich die scharfe kritik der herausgeber an scholz, faeser, habeck, baerbock, merkel und den anderen hauptverantwortlichen für dieses schwere versagen bei der inneren sicherheit und der unsäglichen grenzöffnung für islamisten?",0,0,2024-11-28,"negative",77,74
"aber lambrecht als verteidigungsministerin holen. nur mal so als beispiel. bitte nichts über sicherheit erzählen. jeder, aber nicht sie.",0,0,2024-11-28,"negative",78,75
"haben wir 1990?!? zitat natürlich fragen sich viele, was dieser ...vorgang für sie persönlich bedeutet für ihren arbeitsplatz, ihre soziale sicherheit, für ihre familien. ich nehme diese sorgen sehr ernst. wenn... alle mit anpacken, werden sie und wir es schaffen.",0,0,2024-11-28,"negative",79,76
"warum hat israel kein recht auf sicherheit?",0,0,2024-11-28,"negative",80,77
"so lange d.grenzen nicht geschlossen werden.gibt es keine sicherheit.da kann man d.polizei ausstatten wie man will.die grenzen sind das problem",0,1,2024-11-28,"negative",81,78
"einfach nur noch krank was diese frau von sich gibt und komplettes versagen des staates auf ganzer linie. wenn ein staat die sicherheit seiner bürger nicht mehr sicherstellen kann delegitimiert er sich damit selber!",0,0,2024-11-28,"negative",82,79
"mehr stellen in der polizei und abhärtung der deutschen, welche zu verwöhnt von sicherheit waren?",0,1,2024-11-28,"negative",83,80
"na sie macht ja wirklich einen tollen job was die innere sicherheit betrifft",0,0,2024-11-28,"positive",84,81
"wie sagte der frühere siemenschef über habeck sympathisch aber der schlechtester wirtschaftsminister seit ludwig erhart.hier gehts um kompetenz,wohlstand u. sicherheit u.zukunft in deutschland u. nicht spiele im sandkasten.die unternehmen haben die schnauze voll rotgrünen losern",0,0,2024-11-28,"negative",85,82
"ungeborene frauen erfahren durch abtreibung keine sicherheit und keine gute medizinische versorgung. im gegenteil. prostituierte haben keinen geschlechtsverkehr, um leben weiterzugeben, sondern nehmen tötung billigend in kauf. massenmord darf man nicht schönreden.",0,0,2024-11-28,"negative",86,69
"wer hat den im land das gewaltmonopol und ist für sicherheit verantwortlich? dafür liebe politiker zahle ich steuern und hab euch gewählt das gg umzusetzen und die grenzen zu schützen und die diesbzgl gesetze zum schengen abkommen und migrationsrecht auf einhaltung zu überwachen?",0,0,2024-11-28,"negative",87,83
"ja, ihr seid die komischen. ihr wollt eure sicherheit und eure freiheit, seid aber nicht bereit sie zu verteidigen. das ist aber der deal zwischen staatsbürger und staat. ihr versteht das wahrscheinlich nicht, weil euch das nie einer gesagt hat. jahrzehntelanges versäumt.",0,1,2024-11-28,"negative",88,84
"vorbereitung schafft sicherheit ich überlege die türen vorsorglich auszuhängen müssen dann nicht eingetreten werden",0,1,2024-11-28,"neutral",89,85
"merkels buch sei eine gefahr für die nationale sicherheit, vor allem zu weihnachten. mit dieser steilen these knallte gestern einer vom staatsschutz angela merkel freiheit auf den tisch vom vleutestammtisch ostsachsen auf den tresen. zwei drinks sind direkt umgefallen.",0,4,2024-11-28,"negative",90,86
"sie haben schon das recht auf sicherheit. aber vorher muß die idf die räuberbande hamass ausrotten.",0,0,2024-11-28,"negative",91,87
"narzisstische störungen sind mit sicherheit kein nachteil für führungspersonen oder politiker. insofern, wozu das hier überhaupt diskutieren? wenn ihr eine hyperempathische person als kanzler wollt, dann würd ich an anderer stelle suchen.",0,0,2024-11-28,"negative",92,88
"laut welt ratet ihr zu wachsamkeit auf weihnachtmärkten. wir müssten nicht aufpassen, wenn ihr für sicherheit sorgen würdet, indem ihr die illegal eingereisten und strafrechtlich auffälligen migranten aus dem land werfen. dann können wir und die anständigen migranten sicher sein",0,0,2024-11-28,"negative",93,89
"nicht ablenken bzw. ablenken lassen! konzentrieren sie sich auf das wesentliche! mit ist das thema herzlich egal, mich interessiert meine pension, das gesundheitssystem, wohlstand und sicherheit.",0,1,2024-11-28,"neutral",94,90
"so lange die grenzen und generell die sicherheit des volkes und nicht der politiker garantiert werden kann müssen sie es gar nicht versuchen.",0,0,2024-11-28,"negative",95,91
"die politischen positionen von woidke werfen in der tat fragen auf, insbesondere in bezug auf die geopolitische verantwortung und die langfristige sicherheit deutschlands..",0,0,2024-11-28,"neutral",96,92
"recht auf sicherheit klingt eh ein wenig wie aus der zeit gefallen.",0,0,2024-11-28,"neutral",97,93
"für mich ist murat mit sicherheit auch ein deutscher. 40 jahre hier arbeiten und steuern zahlen also wenn man da kein deutscher ist will man nicht oder ich weiss auch nicht. andere frage was denkt ihr was murat wählen wird ? die grünen ? lg",0,0,2024-11-28,"negative",98,94
"raus mit den kriminellen islamisten ! ich will sicherheit !",0,1,2024-11-28,"negative",99,95
"es ist alles nur zu ihrer sicherheit",0,0,2024-11-28,"neutral",100,96
"mit sicherheit der osten",0,1,2024-11-28,"positive",101,97
"viel wichtiger ist dief tage. uwe nimmt sie die innere sicherheit ernst ? ach, gar nicht sonst hätten sie schon lange dafür gesorgt ist teil der einheitsparteien und will ein weiter so inklusive krieg neindankecdu",0,0,2024-11-28,"negative",102,98
"warum haben die palästinenser dann dort keine sicherheit?",0,0,2024-11-28,"negative",103,99
"haben sie, vorausgesetzt sie lassen von der fixen idee ab die juden ins meer zu treiben. keine sicherheit ohne vertrauen.",0,0,2024-11-28,"negative",104,100
"das ist wirklich interessant der spiegel würde heute diesen artikel mit sicherheit nicht mehr bringen. gates millionen zeigen deutliche wirkung",0,1,2024-11-28,"negative",105,101
"gut daß diese frau für unsere sicherheit verantwortlich ist...",0,0,2024-11-28,"positive",106,102
"ich dachte, ich bekämmeheute nichts mehr zum lachen, weil alles nur noch schlecht in unserem land ist, wo ihre partei nicht unschuldig dran ist. je oller desto doller oder wie ging der spruch. ihr kennt das wort sicherheit und gewaltfrei nicht.",0,0,2024-11-28,"negative",107,103
"das ist nicht unsere aufgabe als bürger. es ist aufgabe des staates für die sicherheit und ordnung zu sorgen.",0,0,2024-11-28,"neutral",108,104
"es wird mit sicherheit viel rotation bei den beiden geben. gegen tiefstehende gegner, die viel mit hohen bällen arbeiten, würde ich collins bevorzugen, da er auch einen guten drang nach vorne hat. in spielen wo es mehr auf unsere defensive ankommt, würde ich auf kristensen setzen",0,3,2024-11-28,"positive",109,105
"warum haben deutsche kein recht auf sicherheit? random nazi kurz vor kriegsende.",0,0,2024-11-28,"negative",110,100
"dass die weihnachtsmärkte nicht sicher sind heißt, dass sie ihren job verfehlt hat. es ist ihre aufgabe, für sicherheit zu sorgen!",0,0,2024-11-28,"negative",111,106
"ich möchte den anteil an steuergeldern zurück, der mir für die innere sicherheit abgeknöpft wird.",0,0,2024-11-28,"negative",112,107
"3. sonst sagst du immer hpcflamanvilleetc. sind ausschlaggebend und mit sicherheit auf alle zukünftigen kernkraftbauvorhaben in deutschland oder europa übertragbar. weshalb kernkraft zu langsam ist. wenn es nicht übertragbar sein sollte, dann ist kernkraft nicht zu langsam.",0,0,2024-11-28,"negative",113,108
"ja, und das lassen wir jetzt so? oder gibts da inzwischen bestrebungen, mehr sicherheit zurückzugewinnen?",0,3,2024-11-28,"neutral",114,109
"in wahrheit ist es die lobby der freiheit und sicherheit. und übrigens auto steht in für mio an arbeitsplätzen, banken für finanzierungen von kapital und waffen für unsere verteidigungsbereitschaft und sicherheit. im sozialismus diktatur gelten natürlich andere regeln",0,0,2024-11-28,"neutral",115,110
"mit sicherheit",0,1,2024-11-28,"neutral",116,111
"es gibt so etwas wie sicherheit nicht.",0,0,2024-11-28,"neutral",117,112
"genau! wohlstand, sicherheit und stabile politik. deshalb muss die nächste regierung grünrot sein!",0,1,2024-11-28,"positive",118,113
"österreichs katastrophenschutz ein starkes netzwerk auf landes und bundesebene sichert unsere zukunft! von prävention bis bewältigung wie können wir als bürger zur vorsorge beitragen? katastrophenschutz sicherheit",0,0,2024-11-28,"positive",119,114
"1.nur 515 werden angezeigt 2. wir wollen das total anzahl an verringert amp härtermehr bestraft werdn 3. sind halt in angezeigte fälle 60 deutsche tv es soll sozial und faktisch leichter werden anzuzeigen und verurteilen wir wollen mehr sicherheit in allgemeinen",0,0,2024-11-28,"negative",120,115
"israel ist ein rassistischer, vom imperialismus hochgerüsteter staat, der mit militärs und der polizei auf der ganzen welt zusammenarbeitet. apartheidalex verteidigt die sicherheit der wenigen gegen die interessen der vielen, darum geht es.",0,0,2024-11-28,"negative",121,116
"es wird immer offensichtlicher, das unsere sicherheit nicht nur von der regierung gefährdet wird, sondern nun auch nicht mehr gewährleistet ist. frau faeser und ihre kollegen sind mehr mit rääächts beschäftigt als sich der wirklichen bedrohung zu widmen.",0,0,2024-11-28,"negative",122,117
"eure frauenwaggons sind auch gamechanger für die sicherheitgtnicht. jetzt zukunft sichern und wählen. teamweidel weidel4kanzler habeckkannesnicht gruenerausausallenparlamenten",0,1,2024-11-28,"negative",123,118
"der akw ausstieg die letzten 4 waren völlig irrelevant für die energie sicherheit des landes wenn 4 das machen würden hätten wir ganz andere probleme die aussage ist eigentlich vom netz her schon so lächerlich aber okay atom fanboys habens ja nicht so mit logik",0,0,2024-11-28,"negative",124,119
"ja, das glaub ich ihnen sofort. sehr gut, wünsche ihnen, dass sie es damit gut in den griff bekommen oder sogar besiegen. ist in der situation mit sicherheit extrem hilfreich!",0,1,2024-11-28,"positive",125,88
"was nützt es uns wenn ihr unsere wirtschaft wieder stärken wollt, wenn eure partei auf der anderen seite mit dem ja zu taurus lieferungen, die sicherheit unseres landes gefährden will. diese ständige noch mehr eskalation besonders was deutschland angeht muss aufhören",0,0,2024-11-28,"negative",126,21
"also, wie lautet die prioritätenliste mit den zehn wichtigsten dingen zu diesem statement? etwa so 1. energieversorgung 2. innere sicherheit 3. äussere sicherheit 4. migration 5. infrastrukturerneuerung 6. ...",0,3,2024-11-28,"neutral",127,120
"anklage wegen hochverrat an der sicherheit? ich wäre dafür.",0,0,2024-11-28,"negative",128,121
"alle wahljahr wieder phrasen versprechen. die spd regiert seit über 50 jaren in hh. ist irgendetwas besser geworden? schulen, wohnungen, sicherheit? aber jetzt wird es",0,0,2024-11-28,"negative",129,122
"mit sicherheit, es heißt nämlich sticken, frauen sind zum sticken da.",0,2,2024-11-28,"neutral",130,123
"ich frag mich ja wer für die innere sicherheit der buerger zuständig ist ? gibts da jemanden ?",1,4,2024-11-28,"neutral",131,124
"wer im alltag, also ohne not mit an sicherheit grenzender wahrscheinlichkeit sagt, möge mir bitte entfolgen. danke",0,6,2024-11-28,"neutral",132,125
"bachmann ist aber aktuell auf der 10gesetzt. finde es auch nicht gut, aber mit den leistungen, wird er mit sicherheit nicht rausgenommen",0,1,2024-11-28,"negative",133,126
"wir sind ja so tolerant und gut, dass wir unsere freiheit, sicherheit, kultur und wirtschaft opfern. wofür? dafür das 25 der migranten tatsächlich flüchtlinge sind? dafür bringen wir 75 der leute mit rein vor denen sie fliehen. das schlimmste ist jedoch dass vergewaltiger und",0,0,2024-11-28,"negative",134,127
"alles, was mielke wollte hoch zehn ... grenzen auf und die eigenen buerger hart fisten, so geht innere sicherheit",0,0,2024-11-28,"neutral",135,128
"von aufarbeitung war keine rede. ebensowenig von neutralität, frieden und sicherheit. übrigens jörg haider wollte schon eine steuerbefreiung nicht entnommener gewinne ! ich bleibe skeptisch.",0,0,2024-11-28,"negative",136,129
"innere sicherheit ist kernaufgabe des staates! was macht feaser eigentlich beruflich? kleptomasche kompetenzbanausen wo hin man schaut.",0,0,2024-11-28,"negative",137,130
"möglicherweise weiß die anwältin sehr genau, dass diese eingabe die mit sicherheit die sichtweise ihres mandanten wiedergibt keinen positiven effekt für ihn haben wird.",0,7,2024-11-28,"negative",138,131
"wie kommt das bild, dass die sicherheit unter rotgrün immer stärker bedroht ist?",0,0,2024-11-28,"negative",139,132
"geliefert wie bestellt. besuche seit jahren keine weihnachtsmärkte mehr. danke an frau sie tun ja auch wirklich alles dafür, dass sich das gefühl von sicherheit erhöht. sarkasmus off.",0,1,2024-11-28,"positive",140,133
"abgesehen davon, dass ich vergeben bin, würde ich mit sicherheit nicht bis ins schlafzimmer kommen von einem afd in ö fpö fan. ich würde seine idiotischen argumente wohl schon vorher aufblatteln.",0,1,2024-11-28,"negative",141,134
"verlogene scheiße! was geht euch das überhaupt an. wir zahlen uns dumm und dösig und was haben wir und explizit die frauen davon? nix! infrastruktur kaputt, sicherheit kaputt, frechheiten und gewalt auf der straße",0,0,2024-11-28,"negative",142,135
